x,y,value_dec,value_hex,low16,high16
17,15,197,0x000000C5,197,0
18,15,197,0x000000C5,197,0
19,15,197,0x000000C5,197,0
0,16,197,0x000000C5,197,0
1,16,197,0x000000C5,197,0
2,16,197,0x000000C5,197,0
3,16,182,0x000000B6,182,0
4,16,183,0x000000B7,183,0
5,16,184,0x000000B8,184,0
6,16,185,0x000000B9,185,0
7,16,186,0x000000BA,186,0
8,16,187,0x000000BB,187,0
9,16,188,0x000000BC,188,0
10,16,197,0x000000C5,197,0
11,16,182,0x000000B6,182,0
12,16,183,0x000000B7,183,0
13,16,184,0x000000B8,184,0
14,16,185,0x000000B9,185,0
15,16,186,0x000000BA,186,0
16,16,187,0x000000BB,187,0
17,16,188,0x000000BC,188,0
18,16,197,0x000000C5,197,0
19,16,197,0x000000C5,197,0
0,17,197,0x000000C5,197,0
1,17,197,0x000000C5,197,0
2,17,189,0x000000BD,189,0
3,17,190,0x000000BE,190,0
4,17,191,0x000000BF,191,0
5,17,192,0x000000C0,192,0
6,17,193,0x000000C1,193,0
7,17,194,0x000000C2,194,0
8,17,195,0x000000C3,195,0
9,17,196,0x000000C4,196,0
10,17,189,0x000000BD,189,0
11,17,190,0x000000BE,190,0
12,17,191,0x000000BF,191,0
13,17,192,0x000000C0,192,0
14,17,193,0x000000C1,193,0
15,17,194,0x000000C2,194,0
16,17,195,0x000000C3,195,0
17,17,196,0x000000C4,196,0
18,17,197,0x000000C5,197,0
19,17,197,0x000000C5,197,0
0,18,197,0x000000C5,197,0
1,18,197,0x000000C5,197,0
2,18,197,0x000000C5,197,0
3,18,197,0x000000C5,197,0
4,18,197,0x000000C5,197,0
5,18,197,0x000000C5,197,0
6,18,197,0x000000C5,197,0
7,18,197,0x000000C5,197,0
8,18,197,0x000000C5,197,0
9,18,197,0x000000C5,197,0
10,18,197,0x000000C5,197,0
11,18,197,0x000000C5,197,0
12,18,197,0x000000C5,197,0
13,18,197,0x000000C5,197,0
14,18,197,0x000000C5,197,0
15,18,197,0x000000C5,197,0
16,18,197,0x000000C5,197,0
17,18,197,0x000000C5,197,0
18,18,197,0x000000C5,197,0
19,18,197,0x000000C5,197,0
0,19,197,0x000000C5,197,0
1,19,197,0x000000C5,197,0
2,19,197,0x000000C5,197,0
3,19,197,0x000000C5,197,0
4,19,197,0x000000C5,197,0
5,19,197,0x000000C5,197,0
6,19,197,0x000000C5,197,0
7,19,197,0x000000C5,197,0
8,19,197,0x000000C5,197,0
9,19,197,0x000000C5,197,0
10,19,197,0x000000C5,197,0
11,19,197,0x000000C5,197,0
12,19,197,0x000000C5,197,0
13,19,197,0x000000C5,197,0
14,19,197,0x000000C5,197,0
15,19,197,0x000000C5,197,0
16,19,197,0x000000C5,197,0
17,19,197,0x000000C5,197,0
18,19,197,0x000000C5,197,0
19,19,197,0x000000C5,197,0
